d060.8c0d.d640	Gi0/2/5        
0021.942b.bd24	Gi0/2/5        
3099.3597.779f	Gi0/2/5        
249e.abb8.a3ef	Gi0/2/4        
3091.8f0b.2c3c	Gi0/2/5        
0021.9412.4a04	Gi0/2/5        
7c39.53f8.3ec7	Gi0/2/6        
0021.9409.958e	Gi0/2/6        
0021.9415.77d6	Gi0/2/5        


--------------------------------------------------

Interface Gi0/2/5         - Neighbor DSLAM GNCYGTVDN1D1EPA1 Villas de Alcala 4 (10.31.29.51) GNCYGTVDN1C1EPA2 Villas de Alcala 5 (10.31.255.10) Villas de Alcala 6 (10.31.255.20)
Interface Gi0/2/4         - Neighbor GNCYGTLLN1D1IXM1
Interface Gi0/2/6         - Neighbor DSLAM GNCYGTVDN1C1A01B24EPA4 Villas de Alcala 7 Huawei 5616 (10.31.255.22)
